QuarterID,GameID,Number,Name,AwayScore,HomeScore
55716,14242,2,2,30,39
55717,14242,3,3,35,29
55718,14242,4,4,35,26
55719,14240,1,1,25,16
55720,14240,2,2,24,31
55721,14240,3,3,24,27
55722,14240,4,4,24,23
55723,14243,1,1,36,27
55724,14243,2,2,30,19
55725,14243,3,3,26,32
55726,14243,4,4,18,28
55727,14240,5,OT,8,13
55728,14244,1,1,21,20
55729,14244,2,2,34,27
55730,14244,3,3,27,31
55731,14244,4,4,26,18
55732,14245,1,1,31,39
55733,14245,2,2,34,34
55734,14245,3,3,38,37
55735,14245,4,4,22,32
55736,14246,1,1,24,19
55737,14246,2,2,36,29
55738,14246,3,3,31,25
55739,14246,4,4,19,26
55740,14247,1,1,18,29
55741,14247,2,2,22,24
55742,14247,3,3,26,30
55743,14247,4,4,22,27
55744,14248,1,1,25,29
55745,14248,2,2,22,24
55746,14248,3,3,34,21
55747,14248,4,4,24,29
55748,14249,1,1,30,30
55749,14249,2,2,19,21
55750,14249,3,3,22,20
55751,14249,4,4,22,21
55752,14251,1,1,20,31
55753,14251,2,2,20,21
55754,14251,3,3,33,28
55755,14251,4,4,28,30
55756,14250,1,1,32,28
55757,14250,2,2,27,36
55758,14250,3,3,35,29
55759,14250,4,4,25,25
55760,14253,1,1,25,24
55761,14253,2,2,26,23
55762,14253,3,3,34,21
55763,14253,4,4,19,22
55764,14252,1,1,31,33
55765,14252,2,2,33,28
55766,14252,3,3,21,33
55767,14252,4,4,24,31
55768,14254,1,1,29,20
55769,14254,2,2,25,27
55770,14254,3,3,34,32
55771,14254,4,4,22,23
55772,14256,1,1,20,28
55773,14256,2,2,28,25
55774,14256,3,3,27,29
55775,14256,4,4,32,32
55776,14257,1,1,30,36
55777,14257,2,2,34,30
55778,14257,3,3,32,27
55779,14257,4,4,21,24
55780,14255,1,1,27,26
55781,14255,2,2,23,29
55782,14255,3,3,26,28
55783,14255,4,4,16,14
55784,14258,1,1,22,32
55785,14258,2,2,19,28
55786,14258,3,3,18,26
55787,14258,4,4,28,29
55788,14257,5,OT,4,18
55789,14260,1,1,32,30
55790,14260,2,2,25,31
55791,14260,3,3,37,23
55792,14260,4,4,23,38
55793,14259,1,1,35,29
55794,14259,2,2,29,28
55795,14259,3,3,24,25
55796,14259,4,4,28,28
55797,14261,1,1,26,9
55798,14261,2,2,25,29
55799,14261,3,3,18,27
55800,14261,4,4,27,22
55801,14262,1,1,27,32
55802,14262,2,2,37,14
55803,14262,3,3,24,25
55804,14262,4,4,24,21
55805,14263,1,1,26,34
55806,14263,2,2,27,30
55807,14263,3,3,31,22
55808,14263,4,4,29,22
55809,14264,1,1,33,37
55810,14264,2,2,19,29
55811,14264,3,3,35,40
55812,14264,4,4,15,30
55813,14265,1,1,25,23
55814,14265,2,2,34,36
55815,14265,3,3,38,24
55816,14265,4,4,30,33
55817,14266,1,1,27,19
55818,14266,2,2,24,32
55819,14266,3,3,33,28
55820,14266,4,4,31,29
55821,14267,1,1,20,35
55822,14267,2,2,26,34
55823,14267,3,3,40,36
55824,14267,4,4,26,22
55825,14268,1,1,18,23
55826,14268,2,2,29,15
55827,14268,3,3,24,31
55828,14268,4,4,22,25
55829,14269,1,1,30,20
55830,14269,2,2,38,30
55831,14269,3,3,19,30
55832,14269,4,4,25,32
55833,14269,5,OT,12,10
55834,14270,1,1,28,34
55835,14270,2,2,28,25
55836,14270,3,3,25,21
55837,14270,4,4,34,29
55838,14271,1,1,28,19
55839,14271,2,2,25,24
55840,14271,3,3,25,25
55841,14271,4,4,25,35
55842,14272,1,1,34,29
55843,14272,2,2,31,29
55844,14272,3,3,30,27
55845,14272,4,4,27,26
55846,14273,1,1,26,33
55847,14273,2,2,27,29
